dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
KC2,3,5,0.6530612244897959,0.8580034423407916,0.5586988352502638,0.8073102604136365
KC2,3,7,0.6274509803921569,0.8582903040734366,0.525648413504224,0.7958584708852839
KC2,3,10,0.5660377358490566,0.8181296615031555,0.4431217169079058,0.7536486121773416
KC2,4,3,0.5128205128205128,0.7162937464142284,0.4030174193009148,0.6559669191104821
KC2,4,5,0.5,0.6970740103270223,0.3820525235329571,0.6515791312760104
KC2,4,7,0.5,0.6982214572576018,0.3820525235329571,0.6515791312760104
KC2,4,10,0.4878048780487805,0.6919104991394147,0.3623167024735308,0.647161594705297
MC2,0,3,0.625,0.65625,0.4602832499602864,0.6972166887783964
MC2,0,5,0.5882352941176471,0.6875,0.378726042189707,0.6718548123582124
MC2,0,7,0.5882352941176471,0.75,0.378726042189707,0.6718548123582124
MC2,0,10,0.5333333333333333,0.6840277777777777,0.3590245611063161,0.6236095644623235
MC2,1,3,0.5263157894736842,0.8125,0.23814483610392,0.6180165405913053
MC2,1,5,0.5555555555555556,0.7951388888888888,0.3055555555555556,0.6454972243679028
MC2,1,7,0.5263157894736842,0.8263888888888888,0.23814483610392,0.6180165405913053
MC2,1,10,0.5555555555555556,0.8298611111111112,0.3055555555555556,0.6454972243679028
MC2,2,3,0.5714285714285714,0.8194444444444444,0.4583333333333333,0.6454972243679028
MC2,2,5,0.5714285714285714,0.8472222222222222,0.4583333333333333,0.6454972243679028
MC2,2,7,0.4615384615384615,0.8020833333333333,0.3546040716334876,0.5590169943749475
MC2,2,10,0.5,0.8229166666666667,0.2746851652988806,0.6009252125773316
MC2,3,3,0.3333333333333333,0.625,0.2359253577103877,0.4564354645876384
MC2,3,5,0.0,0.6041666666666666,-0.1530931089239486,0.0
MC2,3,7,0.0,0.6354166666666667,-0.1530931089239486,0.0
MC2,3,10,0.4285714285714285,0.6805555555555555,0.25,0.5400617248673216
MC2,4,3,0.7368421052631579,0.8203125,0.5913123959890826,0.8100925873009825
MC2,4,5,0.7368421052631579,0.8359375,0.5913123959890826,0.8100925873009825
MC2,4,7,0.7,0.87109375,0.5303300858899107,0.7756046028744286
MC2,4,10,0.6666666666666666,0.8125,0.4780914437337574,0.75
MW1,0,3,0.3636363636363636,0.7311111111111112,0.2872134789517764,0.6036923425424945
MW1,0,5,0.5,0.7622222222222222,0.4418993202399135,0.7393691004272944
MW1,0,7,0.5454545454545454,0.8155555555555556,0.4923659639173309,0.7483314773547882
MW1,0,10,0.3636363636363636,0.7577777777777778,0.2872134789517764,0.6036923425424945
MW1,1,3,0.6,0.6777777777777777,0.5555555555555556,0.7571877794400365
MW1,1,5,0.5454545454545454,0.7377777777777778,0.4923659639173309,0.7483314773547882
MW1,1,7,0.5,0.7977777777777778,0.4418993202399135,0.7393691004272944
MW1,1,10,0.4285714285714285,0.6977777777777778,0.3644054444067475,0.7211102550927979
MW1,2,3,0.4444444444444444,0.6777777777777778,0.3931785497463923,0.6182412330330469
MW1,2,5,0.5,0.6288888888888889,0.477219421937694,0.6253887679764573
MW1,2,7,0.4,0.6777777777777777,0.3333333333333333,0.6110100926607787
MW1,2,10,0.4444444444444444,0.7000000000000001,0.3931785497463923,0.6182412330330469
MW1,3,3,0.1666666666666666,0.6622222222222223,0.0576390417704235,0.4163331998932265
MW1,3,5,0.1818181818181818,0.6755555555555556,0.0820609939862218,0.4216370213557839
MW1,3,7,0.1666666666666666,0.6777777777777778,0.0576390417704235,0.4163331998932265
MW1,3,10,0.1428571428571428,0.6422222222222222,0.0173526402098451,0.4055175020198813
MW1,4,3,0.5454545454545454,0.7155555555555556,0.4923659639173309,0.7483314773547882
MW1,4,5,0.4444444444444444,0.6933333333333334,0.3931785497463923,0.6182412330330469
MW1,4,7,0.5454545454545454,0.7644444444444444,0.4923659639173309,0.7483314773547882
MW1,4,10,0.4444444444444444,0.7111111111111111,0.3931785497463923,0.6182412330330469
PC1,0,3,0.35,0.7950080515297906,0.3014948411877985,0.6527533657682196
PC1,0,5,0.4,0.7888888888888889,0.3540593369228889,0.6613313074614444
PC1,0,7,0.4102564102564102,0.7898550724637681,0.3686330207757384,0.7015051680530607
PC1,0,10,0.4390243902439024,0.7914653784219001,0.4042411609496826,0.7421082385212816
PC1,1,3,0.4166666666666667,0.8631239935587762,0.3996343009378709,0.5717447940303481
PC1,1,5,0.3870967741935484,0.852818035426731,0.3413486853695465,0.6169897312779327
PC1,1,7,0.3636363636363636,0.8644122383252818,0.3145157353285406,0.6138498140448513
PC1,1,10,0.3076923076923077,0.8512077294685991,0.25304470070199,0.6043321862224019
PC1,2,3,0.4848484848484848,0.8854672330097088,0.443764792914761,0.6914877727088349
PC1,2,5,0.4444444444444444,0.904126213592233,0.3990038543014097,0.6862024383574915
PC1,2,7,0.4324324324324324,0.8862257281553398,0.3860656964911056,0.6844315904031224
PC1,2,10,0.3809523809523809,0.8974514563106797,0.3318414231089766,0.6755077198756877
PC1,3,3,0.1818181818181818,0.8536104368932038,0.1683771451204742,0.35010400673797
PC1,3,5,0.24,0.841626213592233,0.2076662138931735,0.4266600929914307
PC1,3,7,0.1818181818181818,0.8648361650485437,0.1683771451204742,0.35010400673797
PC1,3,10,0.25,0.8364684466019418,0.226483617927939,0.4277254132340204
PC1,4,3,0.4285714285714285,0.8862459546925566,0.3912731273601277,0.6216170581558161
PC1,4,5,0.5625,0.9325242718446602,0.5297004099222924,0.7594070246753144
PC1,4,7,0.4571428571428571,0.8995145631067961,0.4165180143466283,0.7087068309027964
PC1,4,10,0.4736842105263157,0.9242718446601942,0.4382541732726658,0.747812343419707
PC3,0,3,0.2962962962962963,0.8156964656964657,0.1933722427807832,0.5238590215203652
PC3,0,5,0.3548387096774194,0.8017671517671517,0.2515978702244681,0.6049002941843936
PC3,0,7,0.3225806451612903,0.7974012474012474,0.2132677975765527,0.5749446326050279
PC3,0,10,0.3283582089552239,0.8112266112266112,0.216747850167156,0.5953737099249969
PC3,1,3,0.2608695652173913,0.8221413721413722,0.1740342026471953,0.4618502065666024
PC3,1,5,0.36,0.854989604989605,0.2744171328557362,0.5639923032163808
PC3,1,7,0.4912280701754385,0.8503118503118503,0.4146146461577673,0.6992719706818578
PC3,1,10,0.4,0.842931392931393,0.3043868793206026,0.6555377408889055
PC3,2,3,0.4590163934426229,0.8093555093555094,0.3755069653221908,0.6908971539519304
PC3,2,5,0.4225352112676056,0.791891891891892,0.3328204940375652,0.6952467068372085
PC3,2,7,0.3846153846153846,0.8014553014553014,0.2874915152954972,0.6793662204867574
PC3,2,10,0.4,0.7837837837837838,0.3060296061569796,0.6862171455843775
PC3,3,3,0.3333333333333333,0.8104096989966556,0.2272700445176378,0.5783149319662402
PC3,3,5,0.4242424242424242,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,7,0.3188405797101449,0.8119774247491638,0.2033706171528373,0.5911838358405931
PC3,3,10,0.3835616438356164,0.8241011705685619,0.2837819984917963,0.664747795864735
PC3,4,3,0.4067796610169492,0.798494983277592,0.3144067279198144,0.6394238627500389
