dataset,fold,requested_top_k,n_features_selected,F1,AUC,MCC,Gmean
PC3,3,5,3,0.4242424242424242,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,10,3,0.4242424242424242,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,15,3,0.4242424242424242,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,999,3,0.4242424242424242,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,4,5,3,0.3835616438356164,0.7848035117056856,0.2837819984917963,0.664747795864735
PC3,4,10,4,0.3888888888888889,0.7618102006688963,0.2903020183028438,0.6669453152333448
PC3,4,15,7,0.3943661971830985,0.8071697324414717,0.2969815378945428,0.6691356177311054
PC3,4,999,7,0.3768115942028985,0.7954640468227425,0.2750280493711189,0.6468989572333266
PC4,0,5,5,0.5945945945945946,0.9170254403131116,0.5267608240073351,0.7614316861379784
PC4,0,10,6,0.6216216216216216,0.9230267449445532,0.5584438098699597,0.7804693588420523
PC4,0,15,7,0.64,0.9210697977821264,0.5797424830876732,0.7972555665256684
PC4,0,999,10,0.6835443037974683,0.9201565557729942,0.6319115127130095,0.8435318537306798
PC4,1,5,3,0.5432098765432098,0.8674494455316373,0.4645132599892734,0.7481222416517315
PC4,1,10,10,0.6111111111111112,0.93235485975212,0.5472352693547339,0.7651918654808368
PC4,1,15,7,0.5822784810126582,0.9230267449445532,0.5111852816268084,0.7707977416370134
PC4,1,999,5,0.5454545454545454,0.9012393998695368,0.469327745459664,0.7713053463951166
PC4,2,5,5,0.5569620253164557,0.919634703196347,0.4810037238552581,0.7519489788523752
PC4,2,10,10,0.65,0.9372472276581866,0.5923060328139189,0.8236554799436633
PC4,2,15,9,0.575,0.931180691454664,0.5025591254756396,0.7688488188174574
PC4,2,999,6,0.5454545454545454,0.9042400521852576,0.467722715548941,0.7365227446757211
PC4,3,5,5,0.6506024096385542,0.9148727984344422,0.5947736742622886,0.8351382931520057
PC4,3,10,10,0.6410256410256411,0.9352250489236792,0.580981423529245,0.809677281028013
PC4,3,15,15,0.625,0.9352250489236792,0.5623903970344925,0.8056389651728789
PC4,3,999,8,0.7317073170731707,0.9435094585779517,0.6919070063092568,0.8891606455643166
PC4,4,5,5,0.625,0.9166029561671762,0.5596784115577245,0.7961905989953939
PC4,4,10,10,0.6666666666666666,0.940940366972477,0.6116207951070336,0.7937061288413014
PC4,4,15,9,0.5915492957746479,0.936289500509684,0.5252734475616013,0.7388312118698205
PC4,4,999,8,0.547945205479452,0.9285168195718654,0.4721601782077975,0.7157041399224547
