dataset,fold,filter_criterion,n_features_selected,stage1_time_s,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
camel-1.6,2,gini,8,8.912,0.3529411764705882,0.6782682512733448,0.3687412534343044,0.1744409896577816,0.559680966605356,0.3191489361702128,0.3947368421052631,0.7935483870967742
camel-1.6,2,mutual_info,12,9.253,0.4523809523809524,0.731239388794567,0.3812992153598925,0.304074319945721,0.6425754631219991,0.4130434782608695,0.5,0.8258064516129032
camel-1.6,2,variance,16,9.43,0.3846153846153846,0.7334465195246179,0.3678141943938808,0.2290178534105498,0.5753864870742448,0.375,0.3947368421052631,0.8387096774193549
camel-1.6,3,shap,6,12.348,0.3174603174603174,0.75169779286927,0.4074996271131172,0.1970351836871768,0.4875356414640809,0.4,0.2631578947368421,0.9032258064516128
camel-1.6,3,gini,6,9.26,0.3225806451612903,0.7234295415959253,0.3913930264129132,0.2082769251516452,0.4892737419554239,0.4166666666666667,0.2631578947368421,0.9096774193548388
camel-1.6,3,mutual_info,3,8.423,0.3098591549295774,0.665874363327674,0.3239726276686162,0.1558278819912716,0.4983844868915901,0.3333333333333333,0.2894736842105263,0.8580645161290322
camel-1.6,3,variance,16,10.003,0.4137931034482758,0.7539898132427844,0.4911386393925463,0.3446782631619272,0.5472574002598951,0.6,0.3157894736842105,0.9483870967741936
camel-1.6,4,shap,10,12.75,0.3684210526315789,0.6928692699490662,0.3588892232239362,0.2135823429541596,0.5580100467053516,0.3684210526315789,0.3684210526315789,0.8451612903225807
camel-1.6,4,gini,3,8.141,0.367816091954023,0.651358234295416,0.2938348564680739,0.1901750489565281,0.5756814814474182,0.3265306122448979,0.4210526315789473,0.7870967741935484
camel-1.6,4,mutual_info,16,9.585,0.425,0.7391341256366724,0.4371245197518353,0.2756951581624169,0.612545691445674,0.4047619047619047,0.4473684210526316,0.8387096774193549
camel-1.6,4,variance,14,9.57,0.4,0.7252122241086587,0.3980461036555236,0.2697573178520872,0.5706458379117263,0.4375,0.3684210526315789,0.8838709677419355
CM1,0,shap,3,8.856,0.2105263157894736,0.7044444444444444,0.2876822467295203,0.1281237022660122,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222224
CM1,0,gini,3,6.929,0.2105263157894736,0.7044444444444444,0.2876822467295203,0.1281237022660122,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222224
CM1,0,mutual_info,3,3.451,0.2105263157894736,0.7044444444444444,0.2876822467295203,0.1281237022660122,0.4294699575575042,0.2222222222222222,0.2,0.9222222222222224
