dataset,config,F1,AUC,MCC,Gmean
PC3,C_FS_Sampling,0.3876855878780695,0.8095875892615023,0.293397146706609,0.6382039142928624
PC3,D_Full_Untuned,0.33280209702624,0.7888493175449697,0.23397567066352218,0.5642557776507593
PC3,E_Full_Tuned,0.32056544308490914,0.785291512248034,0.22480160101116523,0.5456001900555696
PC4,A_Baseline,0.48975128644939964,0.9373456036513721,0.48815199475060317,0.5914877745083605
PC4,B_FS,0.49510783085758253,0.9239960521932371,0.4600340119458667,0.6149887889946167
PC4,C_FS_Sampling,0.6108211834518363,0.9195324571955211,0.5466058316477338,0.7912449460576578
PC4,D_Full_Untuned,0.6091387833171871,0.9228261428990348,0.5451176433589546,0.7717936315266051
PC4,E_Full_Tuned,0.5885339885339885,0.9138388580684673,0.5244739651634687,0.7415510755700004
ant-1.7,A_Baseline,0.5664696116786307,0.8386308182806992,0.4679000994023366,0.6810379399300357
ant-1.7,B_FS,0.5417580636990827,0.8305910413777069,0.43903535950269157,0.6622279939777
ant-1.7,C_FS_Sampling,0.6042481136598783,0.8269478763292151,0.48661109828180205,0.7428932838586881
ant-1.7,D_Full_Untuned,0.5551849320270372,0.815816957831245,0.43304777366833197,0.6951151551545204
ant-1.7,E_Full_Tuned,0.5618545705502227,0.8152294441014787,0.44164267202563695,0.7028648866931113
camel-1.6,A_Baseline,0.2505999751150927,0.7293916830504268,0.20918649750812177,0.40077396757089606
camel-1.6,B_FS,0.22010558442012168,0.6915242662016856,0.15550344669041477,0.36524134993320273
camel-1.6,C_FS_Sampling,0.3776428141309098,0.7179712022326623,0.2280595566516425,0.5648803807585023
camel-1.6,D_Full_Untuned,0.3473908419770972,0.7209925499484073,0.20021103701407855,0.5303631252395441
camel-1.6,E_Full_Tuned,0.3940646076899451,0.725803986695328,0.25684319920209714,0.5716884903383894
synapse-1.2,A_Baseline,0.6489581198332992,0.8366782006920415,0.49776238838857434,0.7217644492705753
synapse-1.2,B_FS,0.6367361954162528,0.8304017685505574,0.4918595359752584,0.7126593698403253
synapse-1.2,C_FS_Sampling,0.6687377981495628,0.8206362937331795,0.5007574285961376,0.7410029541368152
synapse-1.2,D_Full_Untuned,0.6223476523476523,0.7896962706651288,0.43308829183316266,0.7065124704726411
synapse-1.2,E_Full_Tuned,0.6424773755656108,0.7911572472126105,0.4674185418744779,0.7208283645864139
tomcat,A_Baseline,0.19327485380116957,0.821183345582231,0.1949807329080302,0.3467379766627285
tomcat,B_FS,0.28488888888888886,0.7702584517393435,0.2815996610048153,0.43333535583132177
tomcat,C_FS_Sampling,0.3617294345204233,0.7934904424574011,0.2939278357526792,0.6482351996064366
tomcat,D_Full_Untuned,0.3591822094691535,0.8013056304099297,0.29158240266880575,0.6344486493063348
tomcat,E_Full_Tuned,0.3501651489427381,0.7684881798138168,0.2823302514035994,0.616540551067156
xalan-2.4,A_Baseline,0.31242559198745806,0.8176190130008603,0.29017663454759945,0.453161479985999
xalan-2.4,B_FS,0.2579366579366579,0.8012183005585645,0.22996952747002367,0.37144740904567686
xalan-2.4,C_FS_Sampling,0.43016810183933785,0.8046214847394376,0.31968055787460964,0.6418675201509099
xalan-2.4,D_Full_Untuned,0.4108059604147961,0.7849429924999697,0.3047328463426986,0.6114554135509415
xalan-2.4,E_Full_Tuned,0.4228820604682674,0.7854282529412477,0.3176847417649432,0.6267413008110038
