dataset,config,F1,AUC,MCC,Gmean
PC3,NoResample,0.19164457519720673,0.8116941607159,0.16053189749524277,0.3546963867104175
PC3,SMOTE,0.38454870578453476,0.8127002169393475,0.2870488148504152,0.6447150578717054
PC3,SMOTETomek,0.3743604333078017,0.8094309861701167,0.27406966321058956,0.6376545147710563
PC4,ADASYN,0.632917141338194,0.9211745024347137,0.5737140445604442,0.8187042900868562
PC4,BorderlineSMOTE,0.601628962295629,0.9173089433083778,0.5362500117332052,0.7789115202432528
PC4,CostSensitive,0.6130338351450492,0.9205279667897489,0.5500637189552124,0.801923621158475
PC4,FIB_Adaptive,0.592893301603928,0.9197554264888058,0.5251632226888144,0.7775162318512675
PC4,FIB_Borderline,0.5980040193097071,0.9237358041536753,0.5317544939168742,0.7737925959956853
PC4,FIB_Full,0.6108211834518363,0.9195324571955211,0.5466058316477338,0.7912449460576578
PC4,FIB_ShapOnly,0.6242882567267231,0.9247227259216702,0.5622693141303614,0.8020828408781051
PC4,NoResample,0.49510783085758253,0.9239960521932371,0.4600340119458667,0.6149887889946167
PC4,SMOTE,0.6199638792579969,0.9234511491329387,0.5569598107308188,0.7991933157236244
PC4,SMOTETomek,0.5959542676917012,0.9215385474704313,0.529644585800696,0.7846469246070028
ant-1.7,ADASYN,0.596213230861965,0.8287731936170951,0.47262728787096153,0.7443311635132328
ant-1.7,BorderlineSMOTE,0.5803266051616124,0.8227904096080302,0.452383988813896,0.7288191835621127
ant-1.7,CostSensitive,0.5830667198298778,0.8283033483258372,0.4575188818910094,0.7271429346090083
ant-1.7,FIB_Adaptive,0.5869835087721984,0.8237432754211129,0.4649514798455224,0.7268819386732843
ant-1.7,FIB_Borderline,0.60045893755556,0.8267774134323214,0.48268432939597894,0.736233340645641
ant-1.7,FIB_Full,0.6042481136598783,0.8269478763292151,0.48661109828180205,0.7428932838586881
ant-1.7,FIB_ShapOnly,0.6094673202614379,0.8247147415597015,0.491939001804275,0.7459359245969887
ant-1.7,NoResample,0.5417580636990827,0.8305910413777069,0.43903535950269157,0.6622279939777
ant-1.7,SMOTE,0.5851116528229204,0.82639470371766,0.4607194723267364,0.7274966701340524
ant-1.7,SMOTETomek,0.5730643691207071,0.8255918297535724,0.44665284319985243,0.7169648525606814
camel-1.6,ADASYN,0.36181471778994995,0.7103399233110609,0.20508965259553386,0.552719579060238
camel-1.6,BorderlineSMOTE,0.3959742263651928,0.7159105664368822,0.25478892378186285,0.5788682936498389
