dataset,config,F1,AUC,MCC,Gmean
PC1,ABF_Hybrid,0.36542953094903535,0.8707834412081985,0.36098373769443104,0.7882461054242944
PC1,BalancedRF,0.3655457888858291,0.8596163797820615,0.355303819858625,0.7801263231547901
PC1,C_Reference,0.40680824372759855,0.8639967246689493,0.3663557000818622,0.6301181189527227
PC1,EasyEnsemble,0.30425497555043096,0.841879445929678,0.30555943591771345,0.7731356622781271
PC3,ABF,0.3906470563769226,0.8195270270270271,0.2941001525464402,0.6689159340173327
PC3,ABF_Hybrid,0.41344162343122076,0.813281546596764,0.3443954211618836,0.7461362057382779
PC3,BalancedRF,0.431488190437085,0.8255300325409021,0.3589325391542578,0.7478807677751769
PC3,C_Reference,0.3876855878780695,0.8095875892615023,0.293397146706609,0.6382039142928624
PC3,EasyEnsemble,0.41993085030790744,0.824030552291422,0.36443793855283146,0.7634222464649533
PC4,ABF,0.6351135681802194,0.9195409752020284,0.578144693264717,0.8296679732806223
PC4,ABF_Hybrid,0.6109603731925561,0.9208662234111525,0.5698937284483347,0.8623768920790038
PC4,BalancedRF,0.6053465130895235,0.9216226054327727,0.5581190815922394,0.8499944377725719
PC4,C_Reference,0.6108211834518363,0.9195324571955211,0.5466058316477338,0.7912449460576578
PC4,EasyEnsemble,0.5530317773042231,0.9098368811728118,0.5127103087720787,0.8401929960692784
ant-1.7,ABF,0.5849946937977638,0.8248779086392632,0.4548126166579213,0.7439650678002449
ant-1.7,ABF_Hybrid,0.5859668615629345,0.8283269060656837,0.4545226392470288,0.7564896967604249
ant-1.7,BalancedRF,0.595604128639586,0.8344364983283759,0.4685970569837862,0.7498190256401424
ant-1.7,C_Reference,0.6042481136598783,0.8269478763292151,0.48661109828180205,0.7428932838586881
ant-1.7,EasyEnsemble,0.5918317812463287,0.8261534206158953,0.46455293329575864,0.7645979394793904
camel-1.6,ABF,0.4276404393442933,0.7239848304619103,0.26858258735126217,0.6309537998075887
camel-1.6,ABF_Hybrid,0.42769296054125777,0.7244488173690211,0.255541115883906,0.6543716789786626
camel-1.6,BalancedRF,0.3907210884353741,0.7104379140796798,0.21110836326858934,0.6088435743443495
camel-1.6,C_Reference,0.3776428141309098,0.7179712022326623,0.2280595566516425,0.5648803807585023
camel-1.6,EasyEnsemble,0.424633068081344,0.706791683285741,0.25088022440115426,0.6544746724392214
synapse-1.2,ABF,0.6788275838857358,0.8272202998846598,0.497857004671145,0.7552455272582772
synapse-1.2,ABF_Hybrid,0.6788275838857358,0.8272202998846598,0.497857004671145,0.7552455272582772
synapse-1.2,BalancedRF,0.6963144284883416,0.8310553633217992,0.5314224939899,0.7676876335277936
synapse-1.2,C_Reference,0.6687377981495628,0.8206362937331795,0.5007574285961376,0.7410029541368152
synapse-1.2,EasyEnsemble,0.672806849402594,0.8130142252979622,0.49066319878652037,0.7503266018263167
tomcat,ABF,0.34038207996222825,0.7906850195982361,0.26980007663573746,0.6532885335821802
tomcat,ABF_Hybrid,0.32048223226542155,0.7882841335946431,0.26859087106325086,0.708945131593112
tomcat,BalancedRF,0.34642016062323294,0.7947656207469105,0.2924984212509661,0.7151876333574638
tomcat,C_Reference,0.3617294345204233,0.7934904424574011,0.2939278357526792,0.6482351996064366
tomcat,EasyEnsemble,0.3338132500066604,0.8134042748652621,0.28775667169135855,0.7263942161931229
xalan-2.4,ABF,0.4633169540883779,0.7978623702034338,0.35497459263839576,0.7004087982967268
xalan-2.4,ABF_Hybrid,0.4706743247306255,0.7993511686234598,0.37682769648255415,0.7448802862299477
xalan-2.4,BalancedRF,0.49765395695299597,0.8038281657034156,0.40675601725060073,0.7513362898682768
